Industry_code_NZSIOC,Value
FF112,10832
FF112,3946
FF112,5296
FF112,1590
FF112,567900
FF112,27300
FF112,143
FF112,94
FF112,23
FF112,22
FF112,8
FF112,36
FF113,7423
FF113,7035
FF113,329
FF113,33
FF113,0
FF113,25
FF113,7270
FF113,46
FF113,18
FF113,34
FF113,427
FF113,1
FF113,5899
FF113,784
FF113,63
FF113,1438
FF113,1664
FF113,379
FF113,3903
FF113,3286
FF113,290
FF113,77
FF113,31
FF113,327
FF113,3903
FF113,1353
FF113,2166
FF113,385
FF113,1089000
FF113,55600
FF113,152
FF113,75
FF113,16
FF113,28
FF113,10
FF113,35
FF114,29020
FF114,26790
FF114,1973
FF114,94
FF114,0
FF114,161
FF114,28483
FF114,98
FF114,147
FF114,133
FF114,1080
FF114,10
FF114,23868
FF114,3059
FF114,98
FF114,1737
FF114,1781
FF114,580
FF114,8212
FF114,5754
FF114,1064
FF114,228
FF114,63
FF114,1394
FF114,8212
FF114,2386
FF114,4506
FF114,1319
FF114,1508300
FF114,30100
FF114,128
FF114,88
FF114,11
FF114,24
FF114,7
FF114,29
FF115,13752
FF115,12751
FF115,864
FF115,62
FF115,C
FF115,C
FF115,12954
FF115,101
FF115,39
FF115,135
FF115,1361
FF115,8
FF115,8741
FF115,2422
FF115,156
FF115,2071
FF115,2142
FF115,869
FF115,8324
FF115,6515
FF115,C
FF115,211
FF115,173
